Method,Avg_HER_DeltaG_eV,Stability_Score,Synthesis_Success_Rate,Avg_Total_Score,N
baseline,0.06543070248514414,0.9105961093902587,1.0,0.8623366305351405,100
Ours,0.0487157163694501,0.881879938840866,1.0,0.8515892587043739,10
